ID;Term;Bgd_count;Result_count;Result_gene_list;Pct_of_bgd;Fold_enrichment;Odds_ratio;P-value;Benjamini;Bonferroni
GO:0009265;2'-deoxyribonucleotide biosynthetic process;2;2;PF3D7_0417200,PF3D7_1251300,;100.0;8.91;inf;0.0125772784684;0.478819468934;1.0
GO:0046385;deoxyribose phosphate biosynthetic process;2;2;PF3D7_0417200,PF3D7_1251300,;100.0;8.91;inf;0.0125772784684;0.478819468934;1.0
GO:0009628;response to abiotic stimulus;22;6;PF3D7_0802600,PF3D7_0807700,PF3D7_0816500,PF3D7_1116800,PF3D7_1215300,PF3D7_1330300,;27.3;2.43;2.99;0.0301626306829;0.478819468934;1.0
GO:0010605;negative regulation of macromolecule metabolic process;22;6;PF3D7_0417100,PF3D7_0506800,PF3D7_0925800,PF3D7_1031400,PF3D7_1236800,PF3D7_1308900,;27.3;2.43;2.99;0.0301626306829;0.478819468934;1.0
GO:0010629;negative regulation of gene expression;17;5;PF3D7_0417100,PF3D7_0506800,PF3D7_0925800,PF3D7_1236800,PF3D7_1308900,;29.4;2.62;3.32;0.0343832663832;0.478819468934;1.0
GO:0006220;pyrimidine nucleotide metabolic process;7;3;PF3D7_0417200,PF3D7_0605600,PF3D7_1251300,;42.9;3.82;5.96;0.0348187238663;0.478819468934;1.0
GO:0006221;pyrimidine nucleotide biosynthetic process;7;3;PF3D7_0417200,PF3D7_0605600,PF3D7_1251300,;42.9;3.82;5.96;0.0348187238663;0.478819468934;1.0
GO:0019692;deoxyribose phosphate metabolic process;3;2;PF3D7_0417200,PF3D7_1251300,;66.7;5.94;15.88;0.0349180654608;0.478819468934;1.0
GO:0009394;2'-deoxyribonucleotide metabolic process;3;2;PF3D7_0417200,PF3D7_1251300,;66.7;5.94;15.88;0.0349180654608;0.478819468934;1.0
GO:0051181;cofactor transport;3;2;PF3D7_0206200,PF3D7_0709000,;66.7;5.94;15.88;0.0349180654608;0.478819468934;1.0
GO:1901071;glucosamine-containing compound metabolic process;3;2;PF3D7_1025100,PF3D7_1252200,;66.7;5.94;15.88;0.0349180654608;0.478819468934;1.0
GO:0009892;negative regulation of metabolic process;23;6;PF3D7_0417100,PF3D7_0506800,PF3D7_0925800,PF3D7_1031400,PF3D7_1236800,PF3D7_1308900,;26.1;2.32;2.81;0.0370695612131;0.478819468934;1.0
GO:0033865;nucleoside bisphosphate metabolic process;12;4;PF3D7_0704700,PF3D7_1020800,PF3D7_1124500,PF3D7_1437400,;33.3;2.97;3.98;0.0372478861649;0.478819468934;1.0
GO:0034032;purine nucleoside bisphosphate metabolic process;12;4;PF3D7_0704700,PF3D7_1020800,PF3D7_1124500,PF3D7_1437400,;33.3;2.97;3.98;0.0372478861649;0.478819468934;1.0
GO:0033875;ribonucleoside bisphosphate metabolic process;12;4;PF3D7_0704700,PF3D7_1020800,PF3D7_1124500,PF3D7_1437400,;33.3;2.97;3.98;0.0372478861649;0.478819468934;1.0
GO:0006986;response to unfolded protein;12;4;PF3D7_0816500,PF3D7_1116800,PF3D7_1215300,PF3D7_1330300,;33.3;2.97;3.98;0.0372478861649;0.478819468934;1.0
GO:0035966;response to topologically incorrect protein;12;4;PF3D7_0816500,PF3D7_1116800,PF3D7_1215300,PF3D7_1330300,;33.3;2.97;3.98;0.0372478861649;0.478819468934;1.0
GO:0009247;glycolipid biosynthetic process;18;5;PF3D7_0526600,PF3D7_1032400,PF3D7_1210900,PF3D7_1248600,PF3D7_1330700,;27.8;2.47;3.06;0.0433564835456;0.478819468934;1.0
GO:0006664;glycolipid metabolic process;18;5;PF3D7_0526600,PF3D7_1032400,PF3D7_1210900,PF3D7_1248600,PF3D7_1330700,;27.8;2.47;3.06;0.0433564835456;0.478819468934;1.0
GO:1903509;liposaccharide metabolic process;18;5;PF3D7_0526600,PF3D7_1032400,PF3D7_1210900,PF3D7_1248600,PF3D7_1330700,;27.8;2.47;3.06;0.0433564835456;0.478819468934;1.0
